DATE_OF_INTEREST,CASE_COUNT,HOSPITALIZED_COUNT,DEATH_COUNT
2020-02-29,1,0,0
2020-03-01,0,0,0
2020-03-02,0,0,0
2020-03-03,1,1,0
2020-03-04,5,2,0
2020-03-05,3,8,0
2020-03-06,8,5,0
2020-03-07,7,6,0
2020-03-08,21,15,0
2020-03-09,57,30,0
2020-03-10,69,48,0
2020-03-11,155,73,1
2020-03-12,355,79,0
2020-03-13,619,144,0
2020-03-14,642,155,2
2020-03-15,1036,196,5
2020-03-16,2121,330,8
2020-03-17,2452,359,8
2020-03-18,2971,491,20
2020-03-19,3707,570,24
2020-03-20,4007,702,47
2020-03-21,2637,736,44
2020-03-22,2579,763,49
2020-03-23,3570,1111,82
2020-03-24,4501,1244,95
2020-03-25,4874,1396,123
2020-03-26,5047,1543,188
2020-03-27,5116,1502,218
2020-03-28,3479,1439,274
2020-03-29,3563,1473,291
2020-03-30,6130,1835,325
2020-03-31,5459,1804,385
2020-04-01,5449,1757,448
2020-04-02,5748,1733,498
2020-04-03,5670,1688,498
2020-04-04,3865,1430,511
2020-04-05,3781,1394,580
2020-04-06,6353,1805,575
2020-04-07,6043,1686,599
2020-04-08,5580,1618,569
2020-04-09,5070,1482,561
2020-04-10,4511,1395,539
2020-04-11,3732,1161,542
2020-04-12,2888,1034,572
2020-04-13,3312,1263,570
2020-04-14,4144,1128,509
2020-04-15,3878,1003,455
2020-04-16,3530,902,414
2020-04-17,3585,898,384
2020-04-18,2172,666,390
2020-04-19,2346,587,399
2020-04-20,3792,709,364
2020-04-21,3063,654,323
2020-04-22,3448,577,312
2020-04-23,2841,504,331
2020-04-24,2535,517,314
2020-04-25,1596,366,264
2020-04-26,1003,339,246
2020-04-27,2288,394,270
2020-04-28,2728,395,229
2020-04-29,2341,327,240
2020-04-30,2022,283,225
2020-05-01,1887,292,210
2020-05-02,1058,225,190
2020-05-03,786,216,177
2020-05-04,1552,253,159
2020-05-05,1512,229,151
2020-05-06,1398,229,152
2020-05-07,1237,198,142
2020-05-08,1082,208,131
2020-05-09,658,146,99
2020-05-10,457,108,103
2020-05-11,1231,192,104
2020-05-12,1285,136,91
2020-05-13,1335,151,83
2020-05-14,1113,146,70
2020-05-15,875,140,87
2020-05-16,487,91,83
2020-05-17,359,83,77
2020-05-18,896,112,59
2020-05-19,1004,127,55
2020-05-20,1077,88,80
2020-05-21,1069,95,45
2020-05-22,1039,115,65
2020-05-23,456,73,60
2020-05-24,468,82,49
2020-05-25,467,86,48
2020-05-26,1054,75,38
2020-05-27,744,84,48
2020-05-28,646,79,38
